Company,Female %,Male %,% White,% Asian,% Latino,% Black,% Multi,% Other,% Undeclared
Facebook,32,68,55,36,4,2,3,0,-
Instagram,31,69,57,34,4,2,3,0,-
Google+,30,70,60,31,3,2,3,<1,-
YouTube,30,70,61,30,3,2,4,<1,-
LinkedIn,42,58,56,37,4,2,1,<1,-
Pinterest,40,60,50,42,2,1,-,5,-
Tumblr,37,62,50,39,4,2,2,2,1
Flickr,37,62,50,39,4,2,2,2,1
Twitter,30,70,59,29,3,2,3,4,-
Secret,50,50,72,17,-,-,11,-,-
Yahoo!,37,62,50,39,4,2,2,2,1
Google,30,70,60,31,3,2,3,<1,-
Apple,31,69,54,18,11,8,2,1,6
Cisco,23,77,54,-,-,-,-,-,-
eBay,43,57,60,25,5,8,1,1,-
HP,33,67,72,6,14,7,1,<1,-
Indiegogo,45,55,64,23,8,2,-,3,-
Nvidia,16,84,38,44,3,1,14,<1,-
Dell,30,70,69,9,11,10,-,1,-
Ingram Micro,42,58,63,11,16,10,-,0,-
Intel,25,75,61,26,9,4,-,1,-
Groupon,47,53,71,15,5,4,-,4,-
Amazon,37,63,60,13,9,15,-,3,-
Etsy ,51,49,79,11,4,3,3,-,-
Microsoft,28,72,59,29,5,4,1,1,-
Salesforce,29,71,67,22,4,2,2,3,-
Pandora,49,51,71,12,7,3,6,1,-
