Company,Female %,Male %,% White,% Asian,% Latino,% Black,% Multi,% Other,% Undeclared
Facebook,35,65,49,40,5,3,3,1,-
Instagram,35,65,49,40,5,3,3,1,-
Google+,31,69,56,35,4,2,4,1,-
YouTube,31,69,56,35,4,2,4,1,-
LinkedIn,42,58,52,39,4,4,2,<1,-
Pinterest,45,55,48,41,6,3,2,1,-
Tumblr,37,63,45,44,4,2,2,3,-
Flickr,37,63,45,44,4,2,2,3,-
Twitter,37,63,57,32,4,3,3,<1,-
Secret,-,-,-,-,-,-,-,-,-
Yahoo!,37,63,45,44,4,2,2,3,-
Google,31,69,56,35,4,2,4,1,-
Apple,32,68,54,21,13,9,3,1,2
Cisco,24,76,53,37,5,4,1,<1,-
eBay,38,62,52,40,4,2,1,1,-
HP,37,63,73,12,8,4,2,<1,-
Indiegogo,50,50,58,28,7,4,-,3,-
Nvidia,17,83,37,45,3,1,14,<1,-
Dell,28,72,69,9,11,10,-,1,-
Ingram Micro,31,69,52,14,19,14,1,0,-
Intel,26,74,48,38,9,4,1,<1,-
Groupon,44,56,62,20,8,8,-,3,-
Amazon,39,61,48,13,13,21,-,5,-
Etsy ,54,46,79,10,4,3,4,<1,-
Microsoft,26,74,56,31,6,4,2,<1,-
Salesforce,31,69,65,24,4,3,3,<1,2
Pandora,49,51,65,16,8,5,5,1,-
Uber,36,64,50,31,6,9,4,1,-
